player_id,full_name,first_name,last_name,season,shot_zone_basic,shot_zone_area,fga,fgm,fg_pct,league_fga,league_fgm,league_fg_pct,pct_diff
1628384,OG Anunoby,OG,Anunoby,2023-24,Mid-Range,Left Side Center(LC),5,4,0.8,861,380,0.4413,0.3587
1628384,OG Anunoby,OG,Anunoby,2023-24,Mid-Range,Left Side(L),13,7,0.5385,1539,668,0.434,0.1045
1628384,OG Anunoby,OG,Anunoby,2023-24,Mid-Range,Right Side Center(RC),4,2,0.5,935,389,0.416,0.084
1628384,OG Anunoby,OG,Anunoby,2023-24,Mid-Range,Right Side(R),12,4,0.3333,1524,649,0.4259,-0.0926
1628384,OG Anunoby,OG,Anunoby,2023-24,Restricted Area,Center(C),197,138,0.7005,10307,7128,0.6916,0.0089
1628384,OG Anunoby,OG,Anunoby,2023-24,Right Corner 3,Right Side(R),54,22,0.4074,957,403,0.4211,-0.0137
202331,Paul George,Paul,George,2021-22,Above the Break 3,Center(C),61,15,0.2459,2263,800,0.3535,-0.1076
202331,Paul George,Paul,George,2021-22,Above the Break 3,Left Side Center(LC),64,19,0.2969,3059,1095,0.358,-0.0611
202331,Paul George,Paul,George,2021-22,Above the Break 3,Right Side Center(RC),89,33,0.3708,2983,1082,0.3627,0.0081
202331,Paul George,Paul,George,2021-22,In The Paint (Non-RA),Center(C),77,29,0.3766,5208,2296,0.4409,-0.0643
202331,Paul George,Paul,George,2021-22,In The Paint (Non-RA),Left Side(L),1,0,0.0,379,185,0.4881,-0.4881
202331,Paul George,Paul,George,2021-22,In The Paint (Non-RA),Right Side(R),11,5,0.4545,384,151,0.3932,0.0613
202331,Paul George,Paul,George,2021-22,Left Corner 3,Left Side(L),20,11,0.55,979,384,0.3922,0.1578
202331,Paul George,Paul,George,2021-22,Mid-Range,Center(C),32,12,0.375,1048,479,0.4571,-0.0821
202331,Paul George,Paul,George,2021-22,Mid-Range,Left Side Center(LC),15,5,0.3333,621,253,0.4074,-0.0741
202331,Paul George,Paul,George,2021-22,Mid-Range,Left Side(L),29,16,0.5517,1331,531,0.3989,0.1528
202331,Paul George,Paul,George,2021-22,Mid-Range,Right Side Center(RC),46,17,0.3696,662,277,0.4184,-0.0488
202331,Paul George,Paul,George,2021-22,Mid-Range,Right Side(R),52,24,0.4615,1244,553,0.4445,0.017
202331,Paul George,Paul,George,2021-22,Restricted Area,Center(C),116,69,0.5948,7951,5372,0.6756,-0.0808
202331,Paul George,Paul,George,2021-22,Right Corner 3,Right Side(R),23,13,0.5652,937,380,0.4055,0.1597
202331,Paul George,Paul,George,2022-23,Above the Break 3,Back Court(BC),1,0,0.0,3,0,0.0,0.0
202331,Paul George,Paul,George,2022-23,Above the Break 3,Center(C),110,32,0.2909,2478,863,0.3483,-0.0574
202331,Paul George,Paul,George,2022-23,Above the Break 3,Left Side Center(LC),93,29,0.3118,3403,1285,0.3776,-0.0658
202331,Paul George,Paul,George,2022-23,Above the Break 3,Right Side Center(RC),161,69,0.4286,3418,1282,0.3751,0.0535
202331,Paul George,Paul,George,2022-23,Backcourt,Back Court(BC),3,0,0.0,67,2,0.0299,-0.0299
202331,Paul George,Paul,George,2022-23,In The Paint (Non-RA),Center(C),121,53,0.438,6180,2799,0.4529,-0.0149
202331,Paul George,Paul,George,2022-23,In The Paint (Non-RA),Left Side(L),4,2,0.5,420,203,0.4833,0.0167
202331,Paul George,Paul,George,2022-23,In The Paint (Non-RA),Right Side(R),12,7,0.5833,466,222,0.4764,0.1069
202331,Paul George,Paul,George,2022-23,Left Corner 3,Left Side(L),25,10,0.4,1041,434,0.4169,-0.0169
202331,Paul George,Paul,George,2022-23,Mid-Range,Center(C),44,18,0.4091,1100,486,0.4418,-0.0327
202331,Paul George,Paul,George,2022-23,Mid-Range,Left Side Center(LC),25,9,0.36,723,292,0.4039,-0.0439
202331,Paul George,Paul,George,2022-23,Mid-Range,Left Side(L),27,10,0.3704,1305,551,0.4222,-0.0518
202331,Paul George,Paul,George,2022-23,Mid-Range,Right Side Center(RC),78,31,0.3974,814,388,0.4767,-0.0793
202331,Paul George,Paul,George,2022-23,Mid-Range,Right Side(R),67,34,0.5075,1287,585,0.4545,0.053
202331,Paul George,Paul,George,2022-23,Restricted Area,Center(C),200,137,0.685,9615,6601,0.6865,-0.0015
202331,Paul George,Paul,George,2022-23,Right Corner 3,Right Side(R),33,18,0.5455,991,399,0.4026,0.1429
202331,Paul George,Paul,George,2023-24,Above the Break 3,Back Court(BC),1,0,0.0,7,3,0.4286,-0.4286
202331,Paul George,Paul,George,2023-24,Above the Break 3,Center(C),151,66,0.4371,3110,1144,0.3678,0.0693
202331,Paul George,Paul,George,2023-24,Above the Break 3,Left Side Center(LC),127,57,0.4488,4149,1558,0.3755,0.0733
202331,Paul George,Paul,George,2023-24,Above the Break 3,Right Side Center(RC),216,80,0.3704,3883,1445,0.3721,-0.0017
202331,Paul George,Paul,George,2023-24,Backcourt,Back Court(BC),1,0,0.0,56,1,0.0179,-0.0179
202331,Paul George,Paul,George,2023-24,In The Paint (Non-RA),Center(C),141,66,0.4681,6614,3028,0.4578,0.0103
202331,Paul George,Paul,George,2023-24,In The Paint (Non-RA),Left Side(L),8,4,0.5,508,239,0.4705,0.0295
202331,Paul George,Paul,George,2023-24,In The Paint (Non-RA),Right Side(R),12,5,0.4167,507,225,0.4438,-0.0271
202331,Paul George,Paul,George,2023-24,Left Corner 3,Left Side(L),39,21,0.5385,1020,403,0.3951,0.1434
202331,Paul George,Paul,George,2023-24,Mid-Range,Center(C),66,29,0.4394,1403,647,0.4612,-0.0218
202331,Paul George,Paul,George,2023-24,Mid-Range,Left Side Center(LC),50,21,0.42,861,380,0.4413,-0.0213
202331,Paul George,Paul,George,2023-24,Mid-Range,Left Side(L),42,22,0.5238,1539,668,0.434,0.0898
202331,Paul George,Paul,George,2023-24,Mid-Range,Right Side Center(RC),60,24,0.4,935,389,0.416,-0.016
202331,Paul George,Paul,George,2023-24,Mid-Range,Right Side(R),69,34,0.4928,1524,649,0.4259,0.0669
202331,Paul George,Paul,George,2023-24,Restricted Area,Center(C),200,134,0.67,10307,7128,0.6916,-0.0216
202331,Paul George,Paul,George,2023-24,Right Corner 3,Right Side(R),53,19,0.3585,957,403,0.4211,-0.0626
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Above the Break 3,Center(C),35,10,0.2857,2263,800,0.3535,-0.0678
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Above the Break 3,Left Side Center(LC),43,13,0.3023,3059,1095,0.358,-0.0557
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Above the Break 3,Right Side Center(RC),51,13,0.2549,2983,1082,0.3627,-0.1078
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Backcourt,Back Court(BC),4,1,0.25,49,1,0.0204,0.2296
1630567,Scottie Barnes,Scottie,Barnes,2021-22,In The Paint (Non-RA),Center(C),263,112,0.4259,5208,2296,0.4409,-0.015
1630567,Scottie Barnes,Scottie,Barnes,2021-22,In The Paint (Non-RA),Left Side(L),13,7,0.5385,379,185,0.4881,0.0504
1630567,Scottie Barnes,Scottie,Barnes,2021-22,In The Paint (Non-RA),Right Side(R),9,5,0.5556,384,151,0.3932,0.1624
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Left Corner 3,Left Side(L),17,5,0.2941,979,384,0.3922,-0.0981
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Mid-Range,Center(C),25,9,0.36,1048,479,0.4571,-0.0971
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Mid-Range,Left Side Center(LC),22,7,0.3182,621,253,0.4074,-0.0892
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Mid-Range,Left Side(L),45,16,0.3556,1331,531,0.3989,-0.0433
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Mid-Range,Right Side Center(RC),35,16,0.4571,662,277,0.4184,0.0387
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Mid-Range,Right Side(R),27,15,0.5556,1244,553,0.4445,0.1111
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Restricted Area,Center(C),303,215,0.7096,7951,5372,0.6756,0.034
1630567,Scottie Barnes,Scottie,Barnes,2021-22,Right Corner 3,Right Side(R),40,15,0.375,937,380,0.4055,-0.0305
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Above the Break 3,Center(C),39,9,0.2308,2478,863,0.3483,-0.1175
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Above the Break 3,Left Side Center(LC),42,11,0.2619,3403,1285,0.3776,-0.1157
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Above the Break 3,Right Side Center(RC),61,18,0.2951,3418,1282,0.3751,-0.08
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Backcourt,Back Court(BC),4,0,0.0,67,2,0.0299,-0.0299
1630567,Scottie Barnes,Scottie,Barnes,2022-23,In The Paint (Non-RA),Center(C),285,118,0.414,6180,2799,0.4529,-0.0389
1630567,Scottie Barnes,Scottie,Barnes,2022-23,In The Paint (Non-RA),Left Side(L),13,8,0.6154,420,203,0.4833,0.1321
1630567,Scottie Barnes,Scottie,Barnes,2022-23,In The Paint (Non-RA),Right Side(R),15,6,0.4,466,222,0.4764,-0.0764
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Left Corner 3,Left Side(L),31,13,0.4194,1041,434,0.4169,0.0025
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Mid-Range,Center(C),32,12,0.375,1100,486,0.4418,-0.0668
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Mid-Range,Left Side Center(LC),16,6,0.375,723,292,0.4039,-0.0289
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Mid-Range,Left Side(L),37,9,0.2432,1305,551,0.4222,-0.179
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Mid-Range,Right Side Center(RC),29,12,0.4138,814,388,0.4767,-0.0629
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Mid-Range,Right Side(R),20,4,0.2,1287,585,0.4545,-0.2545
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Restricted Area,Center(C),346,226,0.6532,9615,6601,0.6865,-0.0333
1630567,Scottie Barnes,Scottie,Barnes,2022-23,Right Corner 3,Right Side(R),46,11,0.2391,991,399,0.4026,-0.1635
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Above the Break 3,Center(C),82,31,0.378,3110,1144,0.3678,0.0102
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Above the Break 3,Left Side Center(LC),92,35,0.3804,4149,1558,0.3755,0.0049
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Above the Break 3,Right Side Center(RC),74,20,0.2703,3883,1445,0.3721,-0.1018
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Backcourt,Back Court(BC),1,0,0.0,56,1,0.0179,-0.0179
