player_id,full_name,first_name,last_name,team_id,team_name,season,games_played,pts_per_game,reb_per_game,ast_per_game,fgm_per_game,fga_per_game,fg3m_per_game,fg3a_per_game,ftm_per_game,fta_per_game,plus_minus_avg,fg_pts_per_fga
201572,Brook Lopez,Brook,Lopez,,,2023-24,79,12.53,5.18,1.61,4.63,9.56,1.87,5.11,1.39,1.7,3.51,1.31
1630595,Cade Cunningham,Cade,Cunningham,,,2021-22,64,17.41,5.53,5.56,6.7,16.11,1.78,5.67,2.22,2.62,-4.3,1.08
1630595,Cade Cunningham,Cade,Cunningham,,,2022-23,12,19.92,6.17,6.0,7.75,18.67,1.42,5.08,3.0,3.58,-5.0,1.07
1630595,Cade Cunningham,Cade,Cunningham,,,2023-24,62,22.66,4.32,7.48,8.45,18.82,1.92,5.4,3.84,4.42,-5.65,1.2
1631096,Chet Holmgren,Chet,Holmgren,,,2023-24,82,16.55,7.9,2.44,6.16,11.62,1.57,4.26,2.66,3.35,5.12,1.42
203081,Damian Lillard,Damian,Lillard,,,2021-22,29,23.97,4.14,7.31,7.66,19.03,3.17,9.79,5.48,6.24,-0.79,1.26
203081,Damian Lillard,Damian,Lillard,,,2022-23,58,32.17,4.78,7.33,9.59,20.72,4.21,11.34,8.79,9.62,1.81,1.55
203081,Damian Lillard,Damian,Lillard,,,2023-24,73,24.32,4.38,6.96,7.41,17.49,3.01,8.52,6.48,7.04,5.33,1.39
1629028,Deandre Ayton,Deandre,Ayton,,,2021-22,58,17.19,10.22,1.45,7.62,12.02,0.12,0.33,1.83,2.45,5.93,1.43
1629028,Deandre Ayton,Deandre,Ayton,,,2022-23,67,17.96,9.96,1.72,7.79,13.24,0.1,0.36,2.27,2.99,-0.1,1.36
1629028,Deandre Ayton,Deandre,Ayton,,,2023-24,55,16.73,11.07,1.64,7.76,13.62,0.02,0.18,1.18,1.44,-5.76,1.23
1628401,Derrick White,Derrick,White,,,2021-22,75,13.23,3.48,4.88,4.49,10.67,1.53,4.92,2.71,3.13,2.67,1.24
1628401,Derrick White,Derrick,White,,,2022-23,82,12.4,3.57,3.91,4.27,9.24,1.82,4.77,2.05,2.34,5.95,1.34
1628401,Derrick White,Derrick,White,,,2023-24,73,15.16,4.25,5.16,5.3,11.49,2.68,6.78,1.88,2.08,8.48,1.32
1630217,Desmond Bane,Desmond,Bane,,,2021-22,76,18.21,4.39,2.74,6.68,14.49,3.0,6.88,1.84,2.04,4.71,1.26
1630217,Desmond Bane,Desmond,Bane,,,2022-23,58,21.5,5.02,4.38,7.76,16.19,2.86,7.02,3.12,3.53,6.1,1.33
1630217,Desmond Bane,Desmond,Bane,,,2023-24,42,23.74,4.4,5.48,8.57,18.48,3.26,8.57,3.33,3.83,-4.81,1.28
1626164,Devin Booker,Devin,Booker,,,2021-22,68,26.79,5.03,4.84,9.74,20.9,2.69,7.03,4.63,5.34,6.88,1.28
1626164,Devin Booker,Devin,Booker,,,2022-23,53,27.75,4.53,5.53,9.94,20.13,2.09,5.96,5.77,6.75,4.66,1.38
1626164,Devin Booker,Devin,Booker,,,2023-24,68,27.07,4.53,6.94,9.44,19.19,2.24,6.15,5.96,6.72,4.65,1.41
203110,Draymond Green,Draymond,Green,,,2021-22,46,7.52,7.3,6.96,2.93,5.59,0.35,1.17,1.3,1.98,4.0,1.35
203110,Draymond Green,Draymond,Green,,,2022-23,73,8.45,7.19,6.85,3.42,6.49,0.55,1.79,1.05,1.48,4.75,1.3
203110,Draymond Green,Draymond,Green,,,2023-24,55,8.64,7.24,6.04,3.36,6.76,0.93,2.35,0.98,1.35,3.13,1.28
1630596,Evan Mobley,Evan,Mobley,,,2021-22,69,14.99,8.26,2.52,6.12,12.03,0.33,1.33,2.42,3.65,1.42,1.25
1630596,Evan Mobley,Evan,Mobley,,,2022-23,79,16.16,9.0,2.84,6.65,11.99,0.28,1.29,2.59,3.85,4.29,1.35
1630596,Evan Mobley,Evan,Mobley,,,2023-24,50,15.7,9.36,3.2,6.4,11.04,0.44,1.18,2.46,3.42,0.66,1.42
1630532,Franz Wagner,Franz,Wagner,,,2021-22,79,15.15,4.51,2.92,5.77,12.34,1.22,3.43,2.39,2.77,-3.11,1.23
1630532,Franz Wagner,Franz,Wagner,,,2022-23,80,18.56,4.11,3.54,6.78,13.98,1.62,4.5,3.39,4.03,0.62,1.33
1630532,Franz Wagner,Franz,Wagner,,,2023-24,72,19.74,5.29,3.74,7.33,15.22,1.31,4.64,3.76,4.43,2.82,1.3
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,,,2021-22,67,29.88,11.61,5.79,10.28,18.58,1.06,3.61,8.25,11.43,5.93,1.61
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,,,2022-23,63,31.1,11.78,5.7,11.22,20.29,0.75,2.71,7.9,12.25,5.43,1.53
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,,,2023-24,73,30.44,11.52,6.52,11.47,18.75,0.47,1.7,7.04,10.71,4.64,1.62
1628973,Jalen Brunson,Jalen,Brunson,,,2021-22,79,16.27,3.91,4.77,6.41,12.76,1.19,3.19,2.27,2.7,2.92,1.27
1628973,Jalen Brunson,Jalen,Brunson,,,2022-23,68,24.01,3.54,6.19,8.63,17.57,1.97,4.74,4.78,5.76,2.24,1.37
1628973,Jalen Brunson,Jalen,Brunson,,,2023-24,77,28.73,3.61,6.74,10.26,21.4,2.74,6.83,5.47,6.45,6.65,1.34
1631114,Jalen Williams,Jalen,Williams,,,2022-23,75,14.08,4.49,3.31,5.52,10.59,0.97,2.73,2.07,2.55,-0.65,1.33
1631114,Jalen Williams,Jalen,Williams,,,2023-24,71,19.08,3.97,4.54,7.55,13.99,1.45,3.39,2.54,3.11,5.38,1.36
1627750,Jamal Murray,Jamal,Murray,,,2022-23,65,19.97,3.95,6.15,7.28,16.02,2.65,6.65,2.77,3.32,4.58,1.25
1627750,Jamal Murray,Jamal,Murray,,,2023-24,59,21.19,4.1,6.51,8.03,16.71,2.46,5.78,2.66,3.12,5.27,1.27
1628369,Jayson Tatum,Jayson,Tatum,,,2021-22,76,26.92,8.01,4.39,9.32,20.58,3.03,8.57,5.26,6.17,8.75,1.31
1628369,Jayson Tatum,Jayson,Tatum,,,2022-23,74,30.07,8.77,4.62,9.82,21.07,3.24,9.27,7.18,8.41,6.2,1.43
1628369,Jayson Tatum,Jayson,Tatum,,,2023-24,74,26.85,8.12,4.92,9.08,19.27,3.09,8.23,5.59,6.72,8.22,1.39
203954,Joel Embiid,Joel,Embiid,,,2021-22,68,30.57,11.71,4.18,9.79,19.62,1.37,3.69,9.62,11.81,5.43,1.56
